1386197102,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/october-1st-1-180-little-italy/1386197102,"October 1st - $1,180 Little Italy","$1,180.00",< 2 km,23/09/2018

1386160147,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/little-italy-apartment-nov-01/1386160147,Little Italy Apartment - Nov. 01,"$1,000.00",< 2 km,23/09/2018

1385942252,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-room-for-rent/1385942252,1 Room  for rent,"$1,100.00",Near you,23/09/2018

1385835801,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bedroom-for-rent/1385835801,Bedroom for rent,$790.00,< 3 km,22/09/2018

1385809272,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/downtown-uoft-students-young-professionals-starts-october/1385809272,Downtown UofT - Students / Young Professionals - starts October,"$1,050.00",< 3 km,22/09/2018

1385187920,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/cozy-furnished-room-in-a-quite-home/1385187920,"Cozy, furnished room in a quite home",$700.00,< 3 km,20/09/2018

1384910406,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/october-for-female-student-dufferin-subway-downtown-laundry/1384910406,---- October for FEMALE student Dufferin subway DOWNTOWN Laundry,$650.00,< 2 km,18/09/2018

1384798487,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bedroom-own-bathroom-in-a-shared-condo-toronto-downtown/1384798487,Bedroom + Own Bathroom in a shared condo - Toronto Downtown,"$1,200.00",< 3 km,18/09/2018

1384245514,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-or-rent-fully-furnished-with-shared-accommodation/1384245514,ROOM OR RENT Fully Furnished with Shared Accommodation,$585.00,< 5 km,16/09/2018

1384121130,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/spiritual-home-share-for-homebody/1384121130,Spiritual Home Share for Homebody,$500.00,< 2 km,15/09/2018

1384116470,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/zen-style-loft-apartment-downtown/1384116470,Zen Style Loft Apartment Downtown,$900.00,< 2 km,15/09/2018

